Variable ,Variable 
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,116
BPM:,116
BPM:,116
BPM:,116
BPM:,116
BPM:,116
BPM:,116
BPM:,116
BPM:,116
BPM:,116
BPM:,116
BPM:,116
BPM:,116
BPM:,116
BPM:,116
BPM:,116
BPM:,116
BPM:,116
BPM:,116
BPM:,116
BPM:,116
BPM:,116
BPM:,116
BPM:,116
BPM:,116
BPM:,116
BPM:,116
BPM:,116
BPM:,116
BPM:,116
BPM:,116
BPM:,116
BPM:,42
BPM:,42
BPM:,42
BPM:,42
BPM:,42
BPM:,42
BPM:,42
BPM:,42
BPM:,42
BPM:,42
BPM:,42
BPM:,42
BPM:,42
BPM:,105
BPM:,105
BPM:,105
BPM:,105
BPM:,105
BPM:,105
BPM:,105
BPM:,105
BPM:,105
BPM:,105
BPM:,105
BPM:,105
BPM:,105
BPM:,105
BPM:,105
BPM:,105
BPM:,105
BPM:,105
BPM:,74
BPM:,74
BPM:,74
BPM:,74
BPM:,74
BPM:,74
BPM:,74
BPM:,74
BPM:,74
BPM:,74
BPM:,74
BPM:,74
BPM:,114
BPM:,114
BPM:,114
BPM:,114
BPM:,114
BPM:,114
BPM:,114
BPM:,114
BPM:,114
BPM:,114
BPM:,114
BPM:,114
BPM:,114
BPM:,114
BPM:,114
BPM:,114
BPM:,114
BPM:,114
BPM:,114
BPM:,114
BPM:,114
BPM:,114
BPM:,114
BPM:,59
BPM:,59
BPM:,59
BPM:,59
BPM:,59
BPM:,59
BPM:,59
BPM:,59
BPM:,59
BPM:,59
BPM:,59
BPM:,59
BPM:,59
BPM:,59
BPM:,59
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
BPM:,91
