Variable ,Variable 
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,0
BPM:,15
BPM:,15
BPM:,15
BPM:,15
BPM:,15
BPM:,15
BPM:,15
BPM:,15
BPM:,15
BPM:,15
BPM:,15
BPM:,15
BPM:,15
BPM:,15
BPM:,15
BPM:,15
BPM:,15
BPM:,15
BPM:,15
BPM:,15
BPM:,15
BPM:,15
BPM:,15
BPM:,15
BPM:,15
BPM:,15
BPM:,15
BPM:,15
BPM:,15
BPM:,15
BPM:,15
BPM:,15
BPM:,15
BPM:,15
BPM:,15
BPM:,15
BPM:,15
BPM:,15
BPM:,15
BPM:,15
BPM:,15
BPM:,15
BPM:,15
BPM:,15
BPM:,15
BPM:,15
BPM:,15
BPM:,15
BPM:,15
BPM:,15
BPM:,27
BPM:,27
BPM:,27
BPM:,27
BPM:,27
BPM:,27
BPM:,27
BPM:,27
BPM:,27
BPM:,27
BPM:,27
BPM:,27
BPM:,27
BPM:,27
BPM:,27
BPM:,27
BPM:,27
BPM:,80
BPM:,80
BPM:,80
BPM:,80
BPM:,80
BPM:,80
BPM:,80
BPM:,80
BPM:,80
BPM:,80
BPM:,80
BPM:,80
BPM:,113
BPM:,113
BPM:,113
BPM:,113
BPM:,113
BPM:,113
BPM:,113
BPM:,113
BPM:,113
BPM:,113
BPM:,113
BPM:,113
BPM:,113
BPM:,113
BPM:,113
BPM:,113
BPM:,113
BPM:,113
BPM:,113
BPM:,71
BPM:,71
BPM:,71
BPM:,71
BPM:,71
BPM:,71
BPM:,71
BPM:,71
BPM:,71
BPM:,71
BPM:,71
BPM:,125
BPM:,125
BPM:,125
BPM:,125
BPM:,125
BPM:,125
BPM:,125
BPM:,125
BPM:,125
BPM:,125
BPM:,125
BPM:,125
BPM:,125
BPM:,125
BPM:,125
BPM:,125
BPM:,125
BPM:,125
BPM:,125
BPM:,125
BPM:,125
BPM:,64
BPM:,64
BPM:,64
BPM:,64
BPM:,64
BPM:,64
BPM:,64
BPM:,64
BPM:,64
BPM:,151
BPM:,151
BPM:,151
BPM:,151
BPM:,151
BPM:,151
BPM:,151
BPM:,151
BPM:,151
BPM:,151
BPM:,151
BPM:,151
BPM:,151
BPM:,151
BPM:,151
BPM:,151
BPM:,151
BPM:,79
BPM:,79
BPM:,79
BPM:,79
BPM:,79
BPM:,79
BPM:,79
BPM:,79
BPM:,79
BPM:,152
BPM:,152
BPM:,152
BPM:,152
BPM:,152
BPM:,152
BPM:,152
BPM:,152
BPM:,152
BPM:,152
BPM:,152
BPM:,152
BPM:,152
BPM:,152
BPM:,152
BPM:,152
BPM:,152
BPM:,152
BPM:,152
BPM:,152
BPM:,152
BPM:,152
BPM:,152
BPM:,152
BPM:,152
BPM:,152
BPM:,152
BPM:,152
BPM:,152
BPM:,152
BPM:,152
BPM:,152
BPM:,152
BPM:,40
BPM:,40
BPM:,40
BPM:,40
BPM:,40
BPM:,40
BPM:,40
BPM:,40
BPM:,40
BPM:,40
BPM:,40
BPM:,40
BPM:,40
BPM:,40
BPM:,40
BPM:,40
BPM:,40
BPM:,40
BPM:,40
BPM:,40
BPM:,40
BPM:,40
BPM:,40
BPM:,40
BPM:,40
BPM:,40
BPM:,40
BPM:,40
BPM:,40
BPM:,40
BPM:,40
BPM:,40
BPM:,40
BPM:,40
BPM:,40
BPM:,40
BPM:,40
BPM:,40
BPM:,40
BPM:,40
